Flags Found:  0 | Visited:     1 | To Visit:     1 | Runtime: 0m 0s 927ms
Flags Found:  3 | Visited:  1752 | To Visit:  2271 | Runtime: 1m 36s 377ms
Flags Found:  3 | Visited:  1762 | To Visit:  2272 | Runtime: 1m 36s 897ms
Flags Found:  3 | Visited:  1772 | To Visit:  2272 | Runtime: 1m 37s 324ms
Flags Found:  3 | Visited:  1782 | To Visit:  2272 | Runtime: 1m 37s 829ms
Flags Found:  3 | Visited:  1792 | To Visit:  2271 | Runtime: 1m 38s 376ms
Flags Found:  3 | Visited:  1802 | To Visit:  2266 | Runtime: 1m 38s 907ms
Flags Found:  3 | Visited:  1812 | To Visit:  2262 | Runtime: 1m 39s 393ms
Flags Found:  3 | Visited:  1822 | To Visit:  2262 | Runtime: 1m 39s 975ms
Flags Found:  3 | Visited:  1832 | To Visit:  2259 | Runtime: 1m 40s 526ms

49b805b8219a1cec9ef38865a31a0da16f53a738bf90e6070345797f69e51504

Flags Found:  4 | Visited:  1842 | To Visit:  2255 | Runtime: 1m 40s 988ms
Flags Found:  4 | Visited:  1852 | To Visit:  2255 | Runtime: 1m 41s 509ms
Flags Found:  4 | Visited:  1862 | To Visit:  2255 | Runtime: 1m 41s 944ms
Flags Found:  4 | Visited:  1872 | To Visit:  2251 | Runtime: 1m 42s 426ms
Flags Found:  4 | Visited:  1882 | To Visit:  2247 | Runtime: 1m 42s 928ms
Flags Found:  4 | Visited:  1892 | To Visit:  2246 | Runtime: 1m 43s 428ms
Flags Found:  4 | Visited:  1902 | To Visit:  2240 | Runtime: 1m 43s 959ms
Flags Found:  4 | Visited:  1912 | To Visit:  2239 | Runtime: 1m 44s 504ms
Flags Found:  4 | Visited:  1922 | To Visit:  2238 | Runtime: 1m 45s 0ms
Flags Found:  4 | Visited:  1932 | To Visit:  2236 | Runtime: 1m 45s 523ms
Flags Found:  4 | Visited:  1942 | To Visit:  2236 | Runtime: 1m 46s 1ms
Flags Found:  4 | Visited:  1952 | To Visit:  2233 | Runtime: 1m 46s 531ms
Flags Found:  4 | Visited:  1962 | To Visit:  2225 | Runtime: 1m 47s 38ms
Flags Found:  4 | Visited:  1972 | To Visit:  2222 | Runtime: 1m 47s 581ms
Flags Found:  4 | Visited:  1982 | To Visit:  2223 | Runtime: 1m 48s 83ms
Flags Found:  4 | Visited:  1992 | To Visit:  2216 | Runtime: 1m 48s 558ms
Flags Found:  4 | Visited:  2002 | To Visit:  2214 | Runtime: 1m 49s 86ms
Flags Found:  4 | Visited:  2012 | To Visit:  2211 | Runtime: 1m 49s 569ms
Flags Found:  4 | Visited:  2022 | To Visit:  2207 | Runtime: 1m 50s 100ms
Flags Found:  4 | Visited:  2032 | To Visit:  2204 | Runtime: 1m 50s 624ms
Flags Found:  4 | Visited:  2042 | To Visit:  2201 | Runtime: 1m 51s 163ms
Flags Found:  4 | Visited:  2052 | To Visit:  2198 | Runtime: 1m 51s 703ms
Flags Found:  4 | Visited:  2062 | To Visit:  2195 | Runtime: 1m 52s 360ms
Flags Found:  4 | Visited:  2072 | To Visit:  2191 | Runtime: 1m 52s 853ms
Flags Found:  4 | Visited:  2082 | To Visit:  2188 | Runtime: 1m 53s 394ms
Flags Found:  4 | Visited:  2092 | To Visit:  2185 | Runtime: 1m 53s 921ms
Flags Found:  4 | Visited:  2102 | To Visit:  2183 | Runtime: 1m 54s 433ms
Flags Found:  4 | Visited:  2112 | To Visit:  2177 | Runtime: 1m 54s 941ms
Flags Found:  4 | Visited:  2122 | To Visit:  2179 | Runtime: 1m 55s 448ms
Flags Found:  4 | Visited:  2132 | To Visit:  2177 | Runtime: 1m 55s 951ms
Flags Found:  4 | Visited:  2142 | To Visit:  2169 | Runtime: 1m 56s 523ms
Flags Found:  4 | Visited:  2152 | To Visit:  2169 | Runtime: 1m 57s 77ms
Flags Found:  4 | Visited:  2162 | To Visit:  2171 | Runtime: 1m 57s 636ms
Flags Found:  4 | Visited:  2172 | To Visit:  2166 | Runtime: 1m 58s 134ms
Flags Found:  4 | Visited:  2182 | To Visit:  2161 | Runtime: 1m 58s 631ms
Flags Found:  4 | Visited:  2192 | To Visit:  2157 | Runtime: 1m 59s 127ms
Flags Found:  4 | Visited:  2202 | To Visit:  2153 | Runtime: 1m 59s 634ms
Flags Found:  4 | Visited:  2212 | To Visit:  2152 | Runtime: 2m 0s 149ms
Flags Found:  4 | Visited:  2222 | To Visit:  2147 | Runtime: 2m 0s 671ms
Flags Found:  4 | Visited:  2232 | To Visit:  2142 | Runtime: 2m 1s 180ms
Flags Found:  4 | Visited:  2242 | To Visit:  2145 | Runtime: 2m 1s 775ms
Flags Found:  4 | Visited:  2252 | To Visit:  2142 | Runtime: 2m 2s 302ms
Flags Found:  4 | Visited:  2262 | To Visit:  2136 | Runtime: 2m 2s 812ms
Flags Found:  4 | Visited:  2272 | To Visit:  2134 | Runtime: 2m 3s 327ms
Flags Found:  4 | Visited:  2282 | To Visit:  2130 | Runtime: 2m 3s 867ms
Flags Found:  4 | Visited:  2292 | To Visit:  2129 | Runtime: 2m 4s 448ms
Flags Found:  4 | Visited:  2302 | To Visit:  2127 | Runtime: 2m 4s 963ms
Flags Found:  4 | Visited:  2312 | To Visit:  2118 | Runtime: 2m 5s 460ms
Flags Found:  4 | Visited:  2322 | To Visit:  2114 | Runtime: 2m 5s 938ms
Flags Found:  4 | Visited:  2332 | To Visit:  2113 | Runtime: 2m 6s 497ms
Flags Found:  4 | Visited:  2342 | To Visit:  2106 | Runtime: 2m 7s 71ms
Flags Found:  4 | Visited:  2352 | To Visit:  2098 | Runtime: 2m 7s 581ms
Flags Found:  4 | Visited:  2362 | To Visit:  2096 | Runtime: 2m 8s 147ms
Flags Found:  4 | Visited:  2372 | To Visit:  2094 | Runtime: 2m 8s 674ms
Flags Found:  4 | Visited:  2382 | To Visit:  2091 | Runtime: 2m 9s 156ms
Flags Found:  4 | Visited:  2392 | To Visit:  2091 | Runtime: 2m 9s 713ms
Flags Found:  4 | Visited:  2402 | To Visit:  2087 | Runtime: 2m 10s 256ms

37ffbe0b7b56c34bd580d4f7407f93a46e208332dff3beb145ea08ee74dcf5d2
